,Company_Name,Exchange:Ticker,Industry,Rating,Mean_TEV_BV,LOG_Mean_TEV_BV,TEV_BV_SD,Hi-TEV_BV,Lo-TEV_BV,EBITDA_Mean,EBITDA_SD,LOG_EBITDA_SD,EBITDA_SD_TEV,LOG_EBITDA_SD_TEV,Hi-EBITDA_SD,Lo-EBITDA_SD,EL_2013,EL_2014,EL_2015,EL_2016,EL_2017,EL_2018,EL_2019,EL_2020,EL_2021,EL_2022,Mean_EL,EL_SD,LM_2013,LM_2014,LM_2015,LM_2016,LM_2017,LM_2018,LM_2019,LM_2020,LM_2021,LM_2022,Mean_LM,LM_SD,BL_2013,BL_2014,BL_2015,BL_2016,BL_2017,BL_2018,BL_2019,BL_2020,BL_2021,BL_2022,Mean_BL,BL_SD,TEV_BV_2013,TEV_BV_2014,TEV_BV_2015,TEV_BV_2016,TEV_BV_2017,TEV_BV_2018,TEV_BV_2019,TEV_BV_2020,TEV_BV_2021,TEV_BV_2022
1,ACCOR,ENXTPA:AC,Consumer,BB+,1.015910032,0.015784794,0.254277786,0,1,605.26,565.7656232,6.338179899,0.046357816,-3.071365367,1,0,0.074835536,0.033947825,0.01731759,-0.011010673,0.115814646,0.122586617,0.113740578,0.190022867,0.141347734,0.20765751,0.100626023,0.071883335,0.559520796,0.351072961,0.20545977,-0.235826297,3.402466368,3.097847881,1.913910981,2.07832039,-2.841058486,-28.60585885,NA,9.520502436,0.066534908,0.042409788,0.02159285,-0.012063433,0.14540083,0.159769188,0.092334929,0.100951394,0.130576579,0.17705526,0.092456229,0.062484704,0.889081734,1.249263791,1.24687385,1.095612736,1.255461514,1.303316719,0.811802877,0.531259191,0.92379676,0.852631145
2,"ACS, Actividades de Construcción y Servicios, S.A. (BME:ACS)",BME:ACS,Industrials,BBB-,0.360623817,-1.019919921,0.085845716,0,1,2290.15,1128.922218,7.029018667,0.071090014,-2.643808403,1,0,0.366448255,0.270025613,0.371146586,0.207778773,0.121906941,0.091735445,0.108738436,0.211339348,0.21370311,-0.203529117,0.175929339,0.165148694,1.88494864,1.593464547,3.050790853,1.711791301,0.987360894,0.515653775,0.72736589,1.033034988,8.51997897,-1.432353857,1.8592036,2.608575956,0.13695703,0.114738342,0.138190406,0.08596841,0.055612753,0.034970703,0.045146186,0.057001367,0.07096842,-0.034011425,0.070554219,0.052096757,0.373741798,0.424916511,0.372333765,0.413749726,0.456190209,0.381212548,0.415181487,0.269714881,0.33208885,0.1671084
3,"Advance Auto Parts, Inc. (NYSE:AAP)",NYSE:AAP,Consumer,BBB-,1.406354701,0.341001038,0.272030702,1,0,1043.58,153.9414737,5.036572489,0.012907937,-4.349912904,0,1,0.002482331,-0.00483677,0.118076976,0.091379838,0.084950139,0.051582613,0.010679514,0.233570725,0.178622223,0.215940791,0.098244838,0.087486172,0.018773168,-0.053593056,1.243957099,0.917596636,0.899108911,0.543103448,0.153751158,3.178881009,2.157512703,2.95120394,1.201029502,1.181555787,0.003402835,-0.009542122,0.195192404,0.139608991,0.109212267,0.058675123,0.016525452,0.251037916,0.225945133,0.26534746,0.125540546,0.105521342,1.370822316,1.972829212,1.653094544,1.527787689,1.28560433,1.137498084,1.547397297,1.074783304,1.264932937,1.228797297
4,AGCO Corporation (NYSE:AGCO),NYSE:AGCO,Industrials,BBB-,0.913540621,-0.090427437,0.191580442,0,1,886.47,236.5048087,5.465968541,0.032804288,-3.417196048,1,0,0.082525223,0.032722408,0.125888149,0.143415722,0.188845343,0.187382938,0.169319868,0.200706182,0.060328678,0.073814869,0.126494938,0.060647133,0.526617356,0.177230662,0.836819122,1.330379124,2.210425717,1.831322034,1.440142139,1.397304717,0.675178855,0.582725242,1.100814497,0.643135818,0.065464011,0.024055553,0.098822061,0.124751835,0.177459405,0.169424339,0.154109409,0.144309703,0.079901696,0.085231047,0.112352906,0.049867972,0.793260639,0.735140067,0.784998914,0.869861643,0.939707606,0.904160969,0.910167314,0.719009756,1.324439689,1.154659609
5,"Air Transport Services Group, Inc. (NasdaqGS:ATSG)",NasdaqGS:ATSG,Industrials,BB+,1.065155401,0.063120705,0.197137769,0,1,306.68,155.0473032,5.043730252,0.078433083,-2.545509461,1,0,0.458366168,0.374670463,0.309247987,0.261531767,0.232756353,0.300122864,0.498630543,0.542747567,0.464465534,0.376804467,0.381934371,0.10590272,2.097355769,2.234591195,1.682692308,1.505511022,2.13926499,2.008221226,3.846944603,3.325426735,3.15526534,2.18357083,2.417884402,0.761518946,0.337002704,0.343916368,0.311295583,0.288470769,0.351306281,0.346978306,0.545292641,0.53191263,0.507079322,0.398647201,0.396190181,0.095706271,0.735225956,0.917916949,1.006621208,1.103004704,1.50933058,1.156120868,1.093580507,0.980036877,1.091748009,1.057968353
6,Alcoa Corporation (NYSE:AA),NYSE:AA,Materials,BB+,0.423196571,-0.8599185,0.310842369,0,1,1935.285714,819.398095,6.70857004,0.091635451,-2.389937061,1,0,NA,NA,NA,NA,0.065555617,0.004052935,0.096145796,0.258765007,0.123263213,0.006597757,0.092396721,0.094373443,NA,NA,NA,-0.254796623,0.429296592,0.018821604,0.268930523,0.824067022,0.854761905,0.026475959,0.309650997,0.420538133,NA,NA,0.004068522,-0.020227868,0.035362284,0.002636556,0.042710141,0.073952566,0.072476447,0.005790349,0.027096125,0.034618459,NA,NA,0,0,0.539424168,0.650530177,0.444222663,0.285790445,0.587981157,0.87762396
7,AltaGas Ltd. (TSX:ALA),TSX:ALA,Utilities,BBB-,0.942501562,-0.059217702,0.232516049,0,1,649.77,301.1622119,5.70764903,0.031814545,-3.447831696,1,0,0.352914259,0.334491409,0.332664132,0.384307003,0.389205661,0.400645135,0.647257029,0.613040548,0.49274707,0.48265459,0.442992684,0.112978942,8.676631308,8.09645352,5.862464855,6.134157105,5.600662639,5.567816092,8.468886338,7.113689959,6.253609774,5.980826475,6.775519806,1.216950685,0.453534284,0.439497134,0.345136283,0.381920593,0.378412188,0.363318166,0.428539061,0.37554794,0.399824835,0.400357499,0.396608798,0.034756236,1.285111817,1.313926524,1.037491724,0.993790356,0.972267945,0.906832842,0.662084832,0.612598859,0.811420016,0.829490711
8,Alumina Limited (ASX:AWC),ASX:AWC,Materials,BBB-,1.75325703,0.561475218,0.436699112,1,0,-2.66,5.658268286,1.733117889,0.00144505,-6.539611072,0,1,0.193055354,0.035496729,0.023384726,0.037953957,0.023460961,0.011751026,-0.01625913,0.019420916,0.012825485,0.016732998,0.035782302,0.057240744,NA,NA,-7.752136752,-7.77852349,NA,NA,NA,NA,NA,NA,NA,0.018658241,0.200640213,0.047773279,0.035663731,0.054910693,0.047218812,0.028468991,-0.03420783,0.029560902,0.027606167,0.032826124,0.047046108,0.059269892,1.039288518,1.345850202,1.525086505,1.446771213,2.012654642,2.422681292,2.103915193,1.522116733,2.152446151,1.961759845
9,"Amadeus IT Group, S.A. (BME:AMS)",BME:AMS,IT,BBB-,2.86805995,1.053635826,0.518972299,1,0,1565.1,790.1914213,6.672275221,0.02856457,-3.555588128,1,0,0.126833611,0.077836648,0.079888143,0.078576703,0.072859019,0.051381848,0.101173486,0.13055934,0.104467534,0.115603755,0.093918009,0.025828148,1.363901221,0.980430645,1.208042079,1.001147447,1.08150871,0.801850424,1.61373025,1.544924208,-13.94991055,4.067157418,NA,4.980185165,0.289261913,0.220543766,0.233890311,0.229390964,0.247374065,0.197961169,0.326697418,0.288146194,0.270835359,0.282405951,0.258650711,0.039273816,2.280640843,2.833418074,2.927722467,2.919325367,3.395242853,3.852745231,3.229081347,2.207013245,2.592531362,2.442878712
10,Amplifon S.p.A. (BIT:AMP),BIT:AMP,Health Care,BB+,1.983409839,0.684817504,0.662016276,1,0,257.72,92.4711823,4.526897053,0.018587135,-3.985285606,0,1,0.266375546,0.219643477,0.150779896,0.097539245,0.070445533,0.081321064,0.148991017,0.187989084,0.107338127,0.168141884,0.149856487,0.063056479,2.309039548,2.227112676,1.898379052,1.180184805,1.151572927,1.303030303,3.379124821,4.258990536,3.486838459,3.504,2.469827313,1.120786218,0.265200182,0.242492013,0.200725115,0.164472743,0.162781296,0.200386451,0.364801549,0.421932621,0.318646815,0.383460903,0.272489969,0.09446068,0.995587567,1.104025559,1.33124588,1.686221205,2.310739792,2.464139577,2.448480155,2.244452778,2.968626557,2.280579319
